"Source","Target","Type"
"831564825914400768","2395082463","directed"
"831564825914400768","778180340414316546","directed"
"254793053","831814679706087424","directed"
"14667145","2838145444","directed"
"14667145","831814679706087424","directed"
"2838145444","750286186392977409","directed"
"2838145444","501666080","directed"
"1178843514","847581278492778496","directed"
"14937469","533163305","directed"
"14937469","533163305","directed"
"14937469","858656551749529602","directed"
"930483592009887745","910489097956970497","directed"
"775647982754684928","583569338","directed"
"775647982754684928","930754078044491776","directed"
"533163305","533163305","directed"
"819233706","297862021","directed"
"819233706","90324876","directed"
"2163323475","750286186392977409","directed"
"2692983410","3805444043","directed"
"167023077","775647982754684928","directed"
"167023077","1251332575","directed"
"167023077","13334762","directed"
"777435871654141952","3063951376","directed"
"917348214449360896","750286186392977409","directed"
"1343969120","750286186392977409","directed"
"821295773207949312","19072286","directed"
"297862021","4008445576","directed"
"297862021","831814679706087424","directed"
"21243456","831814679706087424","directed"
"2277607969","1491426895","directed"
"90324876","297862021","directed"
"90324876","90324876","directed"
"45586526","847581278492778496","directed"
"889756995343052800","158729810","directed"
"889756995343052800","250558059","directed"
"889756995343052800","326168106","directed"
"889756995343052800","1055853402","directed"
"858656551749529602","831814679706087424","directed"
"858656551749529602","533163305","directed"
"18848567","897492667260702721","directed"
"1907251543","2210397950","directed"
"1907251543","865971338","directed"
"56184294","750286186392977409","directed"
"793588688","2838145444","directed"
"3805444043","421912290","directed"
"3805444043","2776117148","directed"
"3805444043","3805444043","directed"
"2608171524","101755795","directed"
"2692094678","2785237306","directed"
"161471794","831814679706087424","directed"
"34967636","3095200871","directed"
"34967636","729979811561656320","directed"
"2902125467","700565881","directed"
"4185743326","421912290","directed"
"4185743326","2776117148","directed"
"4185743326","3805444043","directed"
"11332442","2785237306","directed"
"227264145","2543214114","directed"
"227264145","46347027","directed"
"227264145","1117790442","directed"
"2813008719","250558059","directed"
"377954285","59805032","directed"
"184917701","1284392876","directed"
"1109490079","425834136","directed"
"1872764083","897492667260702721","directed"
"1872764083","533163305","directed"
"1872764083","831814679706087424","directed"
"4024116261","4024116261","directed"
"4024116261","865971338","directed"
"897492667260702721","101755795","directed"
"2810943158","533163305","directed"
"449195625","965636892413833217","directed"
"807211822420021248","1878886411","directed"
"807211822420021248","1878886411","directed"
"966591314497298432","878092579","directed"
"3425602487","38736570","directed"
"964809955","529256992","directed"
"2306695896","865971338","directed"
"2306695896","2210397950","directed"
"2306695896","1907251543","directed"
"2306695896","2359520304","directed"
"700501170","3805444043","directed"
"328994106","865971338","directed"
"968849222161321991","2907514331","directed"
"508013169","186394769","directed"
"3153642201","2210397950","directed"
"186394769","508013169","directed"
"968748824150859777","583569338","directed"
"968748824150859777","930754078044491776","directed"
"968748824150859777","968748824150859777","directed"
"376253021","490720843","directed"
"849683755476426752","849520868464242689","directed"
"421912290","2776117148","directed"
"421912290","3805444043","directed"
"53151026","2401190942","directed"
"846330655600525312","159796963","directed"
"101755795","2382676952","directed"
"742663751934062592","50810156","directed"
"2615135439","3805444043","directed"
"191606021","2359520304","directed"
"1117790442","1284392876","directed"
"1117790442","702786126","directed"
"790552376117714944","865971338","directed"
"790552376117714944","2210397950","directed"
"790552376117714944","1907251543","directed"
"790552376117714944","2359520304","directed"
"1355203866","831814679706087424","directed"
"1377767730","2785237306","directed"
"2900844616","59805032","directed"
"2900844616","21084942","directed"
"758241070186631168","259301275","directed"
"758241070186631168","59805032","directed"
"2315265308","866068692","directed"
"259242304","259242304","directed"
"748057779827519488","59805032","directed"
"748057779827519488","21084942","directed"
"714103813","59805032","directed"
"1062831254","501666080","directed"
"382290608","3063951376","directed"
"755854671953080320","89718182","directed"
"755854671953080320","755854671953080320","directed"
"755854671953080320","3153574948","directed"
"74977676","2345035488","directed"
"2948932869","3063951376","directed"
"3409182172","376253021","directed"
"3351160931","831814679706087424","directed"
"3351160931","503529895","directed"
"3351160931","250558059","directed"
"3351160931","17557482","directed"
"370275054","250558059","directed"
"50810156","48309940","directed"
"50810156","220958965","directed"
"143258458","63461239","directed"
"143258458","84055536","directed"
"4481168962","61145089","directed"
